Язык,Global ID,Модель,Итерация,Статус,Стандартизированное имя
EN,225,Grok 4.1 Fast,1,success,Альберт Эйнштейн
EN,224,Grok 4.1 Fast,2,success,Норман Борлоуг
EN,223,Grok 4.1 Fast,3,success,Норман Борлоуг
EN,222,Grok 4.1 Fast,4,success,Альберт Эйнштейн
EN,221,Grok 4.1 Fast,5,success,Норман Борлоуг
EN,220,Grok 4.1 Fast,6,success,Норман Борлоуг
EN,219,Grok 4.1 Fast,7,success,Альберт Эйнштейн
EN,218,Grok 4.1 Fast,8,success,Альберт Эйнштейн
EN,217,Grok 4.1 Fast,9,success,Альберт Эйнштейн
EN,216,Grok 4.1 Fast,10,success,Альберт Эйнштейн
EN,215,Grok 4.1 Fast,11,success,Илон Маск
EN,214,Grok 4.1 Fast,12,success,Альберт Эйнштейн
EN,213,Grok 4.1 Fast,13,success,Альберт Эйнштейн
EN,212,Grok 4.1 Fast,14,success,Альберт Эйнштейн
EN,211,Grok 4.1 Fast,15,success,Норман Борлоуг
EN,210,Grok 4.1 Fast,16,success,Альберт Эйнштейн
EN,209,Grok 4.1 Fast,17,success,Альберт Эйнштейн
EN,208,Grok 4.1 Fast,18,success,Альберт Эйнштейн
EN,207,Grok 4.1 Fast,19,success,Альберт Эйнштейн
EN,206,Grok 4.1 Fast,20,success,Альберт Эйнштейн
EN,205,Grok 4.1 Fast,21,success,Альберт Эйнштейн
EN,204,Grok 4.1 Fast,22,success,Альберт Эйнштейн
EN,203,Grok 4.1 Fast,23,success,Альберт Эйнштейн
EN,202,Grok 4.1 Fast,24,success,Норман Борлоуг
EN,201,Grok 4.1 Fast,25,success,Альберт Эйнштейн
EN,200,Gemini 3 Pro,1,success,НЕ ОТВЕТИЛА
EN,199,Gemini 3 Pro,2,success,НЕ ОТВЕТИЛА
EN,198,Gemini 3 Pro,3,success,НЕ ОТВЕТИЛА
EN,197,Gemini 3 Pro,4,success,НЕ ОТВЕТИЛА
EN,196,Gemini 3 Pro,5,success,НЕ ОТВЕТИЛА
EN,195,Gemini 3 Pro,6,success,НЕ ОТВЕТИЛА
EN,194,Gemini 3 Pro,7,success,НЕ ОТВЕТИЛА
EN,193,Gemini 3 Pro,8,success,НЕ ОТВЕТИЛА
EN,192,Gemini 3 Pro,9,success,НЕ ОТВЕТИЛА
EN,191,Gemini 3 Pro,10,success,НЕ ОТВЕТИЛА
EN,190,Gemini 3 Pro,11,success,НЕ ОТВЕТИЛА
EN,189,Gemini 3 Pro,12,success,НЕ ОТВЕТИЛА
EN,188,Gemini 3 Pro,13,success,НЕ ОТВЕТИЛА
EN,187,Gemini 3 Pro,14,success,НЕ ОТВЕТИЛА
EN,186,Gemini 3 Pro,15,success,НЕ ОТВЕТИЛА
EN,185,Gemini 3 Pro,16,success,НЕ ОТВЕТИЛА
EN,184,Gemini 3 Pro,17,success,НЕ ОТВЕТИЛА
EN,183,Gemini 3 Pro,18,success,НЕ ОТВЕТИЛА
EN,182,Gemini 3 Pro,19,success,НЕ ОТВЕТИЛА
EN,181,Gemini 3 Pro,20,success,НЕ ОТВЕТИЛА
EN,180,Gemini 3 Pro,21,success,НЕ ОТВЕТИЛА
EN,179,Gemini 3 Pro,22,success,НЕ ОТВЕТИЛА
EN,178,Gemini 3 Pro,23,success,НЕ ОТВЕТИЛА
EN,177,Gemini 3 Pro,24,success,НЕ ОТВЕТИЛА
EN,176,Gemini 3 Pro,25,success,НЕ ОТВЕТИЛА
EN,175,GPT 5.1,1,success,Нельсон Мандела
EN,174,GPT 5.1,2,success,Мария Кюри
EN,173,GPT 5.1,3,success,Нельсон Мандела
EN,172,GPT 5.1,4,success,Махатма Ганди
EN,171,GPT 5.1,5,success,Нельсон Мандела
EN,170,GPT 5.1,6,success,Нельсон Мандела
EN,169,GPT 5.1,7,success,Мария Кюри
EN,168,GPT 5.1,8,success,Альберт Эйнштейн
EN,167,GPT 5.1,9,success,Нельсон Мандела
EN,166,GPT 5.1,10,success,Махатма Ганди
EN,165,GPT 5.1,11,success,Нельсон Мандела
EN,164,GPT 5.1,12,success,Нельсон Мандела
